post,aspect,polarity
ছি. এর চেয়ে নিরখিষণ্ট আর কিছু হতে পারেনা।,other,negative
এটা ফুটবল ইতিহাসের দুভাগ্য,sports,negative
এই হল সংলাপের নমুনা ।,other,neutral
আমার পরিসংখ্যান অনুযায়ী বলা যাচ্ছে এটা ম্যাশের হইতো শেষ এশিয়া কাপ।,sports,neutral
"রুহুল আমিন হাওলাদার নিজের আসনে কয়ভোট পাবে, সে নিজেও জানেনা।",politics,neutral
বস্তা পচা মাল,other,negative
হয়তো কিছুদিন পর মাঠে দেখা যাবে না কিন্তু আপনার প্রতি ভালোবাসা থাকবে চিরকাল,sports,positive
"সংলাপ সফল হয়নি, আন্দোলন চলবে।",politics,negative
ভমি ভমি ভাব কেন?,other,neutral
"আল্লাহ সর্বজ্ঞ, সর্ববিষয়ে সম্যক জ্ঞাত।",religion,positive
সংবিধান কোন ধর্মগ্রন্থ না যে পরিবর্তন করা যাবে না।,politics,negative
নিজের হাতে ধরে শিরোপা হারালো,sports,negative
"বিরোদি না,, ছাগলের দল!",other,negative
তাহাকে আওয়ামীলীগ বলে,politics,neutral
সারাদেশে বিশৃংঙ্খলার পরিবেশ তৈরি করে দিচ্ছে ইসি!,politics,negative
আচ্ছা এজিদের সম্পর্কে ডা:জাকির নায়েক স্যারের মন্তব্য কি ছিল?এখন তাঁর অবিস্থান কি এই বিষয়ে?,religion,positive
মানুষ আর হলিনা আওয়ামিলীগই থেকে গেলি,politics,negative
ইবিতে ভর্তি পরীক্ষা শুরু রোববার,other,neutral
অঘোসিত হরতাল করেও কোনও কাজ হয়নি,politics,negative
বস কি বলবো সব ভাষাই তো হাদিয়ে ফেলেছি শুধু তোমাকে দেখছি আর মনে মনে ভাবছি খুব ভালোবাশি তোমায়......,sports,positive
কোন দল বেশী দিন ক্ষমতায় থাকলে এমনই হয়।,politics,negative
"বাংলাদেশ ক্রিকেটের প্রতি এই যে এত আবেগ অনূভুতি, ভালোলাগা, ভালোবাসা এর সবকিছুই সাকিব্বাইের প্রতি ভালোবাসা থেকেই!",sports,positive
"জিম্বাবুয়ে যখন শেষবার টেস্ট ম্যাচ জিতেছিল, রশিদ খানের বয়স তখন মাত্র তিন বছর",sports,neutral
মেজর মান্নান সাহেব এমন কি পাইলেন সেনা মেজিষ্ট্রেটি ক্ষমতা না দেন তাহলে জিরো,politics,negative
ধন্যবাদ ডাঃ জাকির নায়েক,religion,positive
এরশাদের দলে যোগ দেন।,politics,neutral
আগামী সংসদ হবে আওয়ামীলীগ. এন্টি আওয়ামীলীগ. একারণেই. ঐক্যফ্রন্ট,politics,neutral
হাসিনা তোমার উপর আল্লাহর গজব পরছে,politics,negative
"মেসির বিশ্বকাপ লাগবে না,  কোন পরিসংখ্যানের দিকে চোখ দেওয়ার দরকার নেই,,",sports,negative
মাশরাফি অধিনায়ক হিসেবে কতবার চ্যাম্পিয়ন হইসে,sports,positive
সাকিবের এই ব্যাপারটা ঠিক ক্রিকেটারদের আন্দোলনের পরেই মাথাচাড়া দিয়ে উঠলো??!,sports,neutral
এরা বাল পালাবে।,other,negative
আগে জামিন দেন পরে দেখা যাবে,other,neutral
"মান্নার আর সিদ্দিকার গরম গরম বক্তব শেষ,,,",other,neutral
শক্তিশালী জিম্বাবুয়েকে ৪ রানে হারাল বাংলাদেশ,sports,negative
এটা কোন নিবন্ধিত রাজনৈতিক দল নয়।,politics,negative
বাংলাদেশ এর জনগণ এখন পাদ দিলে তাতেও আওয়ামী সন্দেহ,politics,negative
মুসলিমের জন্য আল্লাহর রহমত সরুপ তাকে দিয়েছেন আমাদের জন্য।,religion,positive
সমস্ত মুসলিম ঠিক নয় সমস্ত মানুষ কে এক করতে চাই।,religion,positive
বিকাশ বন্ধ করে দেওয়া হোক।,other,negative
গ্রেনেড হামলা কেউ চায়না,other,positive
বলির পাডা বলে কথা।,other,negative
ইসলামে সব নিষেধ নাচ গান বাজনা ছবি তোলা দুধ বড় করা...,religion,negative
ভাল কাজ হয়েছে,other,positive
আওয়ামী দালাল গুলোর জ্বলছে।,politics,negative
নাস্তিক দের দেশ থেকে বিতাড়িত করতে হবে।,religion,negative
শুধু বলতে চাই অছিলা বাশ এইবার যাবে জাতীয় পাটির উপর দিয়ে।,politics,negative
সাঁজার মেয়াদ পুর্ন হওয়ার পর সংলাপ সফল হবে।,politics,negative
খুব ভাল করেছে,other,positive
রোনালদো  একটা ইন্সটাগ্রাম পোস্ট করলে ৮ মিলিয়ন পাই.,sports,neutral
এইবার বিএনপি ২০ টা সিট ও পাবেনা,politics,negative
বাস আপনাকে তো এই ম্যাচে রাখা হচ্ছে না।,sports,negative
ভোট চোরদের রাজত্বে জাতি পা রাখবে আরেকটি যুগে,politics,negative
আপনাদের কর্মসূচী কি বলেন,politics,neutral
আফিফা কি বেছে আছেন,other,neutral
‌নৌকার জয় হ‌বে ইনশাআললাহ,politics,positive
কারাবন্দির পায়ুপথে ১০৮০ পিস ইয়াবা!,other,negative
মায়ের মুত খায় আবার মায়ের সাথে অকাম করে,other,negative
দেশের এই কান্তিলগ্নে তুর ভাষনে জাতি হতাশ,other,negative
নিউজ টা গুজব বলে মনে হচ্ছে।,other,negative
"পাপ‌নের কোন অ‌ধিকার নাই ষরযন্ত্র ‌করে বাংল‌া‌দে‌শের ক্রি‌কেটার ও ‌ক্রি‌কেট‌ খেলা‌কে ধ্বংস করার, এ",sports,negative
চট্টগ্রাম জেলার শ্রেষ্ঠ ওসি শাহজাহান,other,positive
কুত্তার বাচচাটাকে এমন সাজা দাও তার মায়ে ও যেন ভুলে যায় আইন কাকে বলে,other,negative
এইটাতো বাকশালি মনের বহিপ্রকাশ,politics,negative
"ছিঃ ছিঃ , পাচাটা কুকুর।",other,negative
শুধু আপনাদের কে খমতায় দেখতে চায় না জনগন।,politics,negative
অাল্লাহর নিকট সাহায্য চাই,religion,positive
শবে বরাত নামাজ পড়া যাবে,religion,positive
"বেন ফোকসের সেঞ্চুরি, ইংল্যান্ডের লিড ১৭৭",sports,neutral
"খুবই ভাল লাগলো, স্যালুট মাসরাফি তোমাকে।",sports,positive
আমাদের আইসিটি প্রতিমন্ত্রী হঠাৎ কোন একদিন বাথরুমে গিয়ে যদি লাইভ শুরু করেন!,politics,negative
আল্লাহর পথে যারা থাকেন তাদেরকে আল্লাহ এভাবেই help করেন।,religion,positive
বিচারের কাঠগড়ায় তোমাকে ও দাড়াতে হতেপারে।,other,negative
হানাফিরা এক রকম ভাবে নামাজ পরে আর মহাম্মাদিরা এক রকম ভাবে নামাজ পরে।আসলে কন্তা সথিক?,religion,neutral
গ্রুপ এর নাম রিয়াল মাদ্রিদ ফ্যান ক্লাব হলে ভাল হতো।,sports,positive
এ রকম রাজনীতি থেকে আমরা কবে মুক্তি পাব?,politics,negative
"অভিনন্দন রংপুর রাইডার্স,কাপটা এবারও ম্যাশের হাতেই,মাশরাফি বস,, কখনো কাওকে ভয় পায় না, মাশরাফি বস বাংলাদেশর সেরা ক্যাপ্টেন।",sports,positive
আল্লাহ তুমি পাকিস্তানি মানুষ কে রক্ষা করুণ,religion,positive
হাসিনার নির্দেশেই সব হচ্ছে।,politics,neutral
শহীদ কামারুজ্জামানের নামে রাজশাহী জেলা পরিষদ মিলনায়তনের নামকরণ,other,neutral
বিসিবির সভাপতি আপনি হোন ম্যাশ.. প্রতিভাবান ক্রিকেটার জায়গা করে দেন দলে ইন শাহ আল্লাহ সাকিব আল হাসানের নেতৃত্বে বিশ্বকাপ জিতবো।,sports,positive
সারাজীবন পারবেজ ভাইয়ের তিলাওয়াত শুনতে ছাই,religion,positive
"মাশরাফি মানে নির্ভয়,",sports,neutral
ভোটের অধিকার ফেরত চাই,politics,positive
আপনি হুকুম দিলে তারপর করবে??,other,neutral
শামসুদ্দিন মানিক এর রাজাকার বলার একদিন পর বঙ্গবীর কাদের ছিদ্দিকী বীর উত্তম পায়ে দরে সালাম করে কি বুঝালেন?,politics,negative
আল্লাহ ওনাকে নেক হায়াত দান করুন আরো জ্ঞান অর্জন করার তৌফিক দিও,religion,positive
জরিমানা দিতে হবে ব্রাজিলকেও,sports,negative
কতগুলা বৃদ্ধ মানুষের হয়রানি,other,negative
"অদম্য সাহসিকতার উজ্জল নক্ষএ তুমি, আরও একবার প্রমান করলে কিভাবে কঠিন মুহূর্তে নিজের কাদে দায়িত্ব নিয়ে সমস্ত চ্যালেঞ্জ মোকাবেলা করা যায়।",sports,positive
শুরু থেকেই পথহারা বাংলাদেশ ব্যাটসম্যানরা।,sports,negative
আদালত কে এখন আদালত লীগ বানিয়েছিস আনিস কুত্তা,politics,negative
আমি যুগান্তরের সাথে আছি আপনিও থাকেন,other,positive
গালি দিলাম না।তাই বলে মনে করবেন না যে আমি আপনাদের ভালো বলছি।,other,negative
যুক্তরাষ্ট্রের মধ্যবর্তী নির্বাচন আজ,politics,neutral
নেইমার আর দলে কেউ চাইনা।,sports,negative
দালাল এই সাংবাদিকগণ ১০০/ মিথ্যা বলে,other,negative
এবারের ট্রফিটা তোমার হাতে চাই,sports,positive
আল্লাহু আপানাদের সহায়ক হোক আমিন,religion,positive
দেশতো কবেই শেখ হাসিনা বিক্রি কইরা দিসে,politics,negative
"খেলে জিততে হবে, বার্সা ইউসিএলে ভালো করবে, ডেম্বেলে,গ্রিজ,মেসি,ফাতি আমাদের ও এটাক কম না।",sports,positive
বেচারা মেসির ভক্তগুলারি বেশি আফসোস মেসির চেয়ে।,sports,neutral
ফালতু আর বেশি বুঝে,other,neutral
মেন্টাল! পাবনায় পাঠান ওকে,other,negative
সত্ত্বাবধায়ক সরকার ব্যবস্থা যদি পুনঃস্থাপন না করা হয় তাহলে সংলাপের ফলাফল হবে শূন্য,politics,negative
তোমার মতো দালালরা বিকল্প পথে থাকাই ভাল!,other,negative
সাবাশ বাঙালি আমরাও পারি দেখেয়ে দিলাম।,other,positive
এই পোষ্ট যে করেছে সে জানোয়ার মুনাফেক...?,religion,negative
ইসলামের বিজয় এভাবেই হবে ইনশাআল্লাহ,religion,negative
আল্লাহ তায়ালা আপনাকে সুস্থ রাখুক,religion,positive
খালেদার সাথে থাকলে আরাম আর শেখ হাসিনার সাথে থাকলে হারাম...,politics,negative
অবৈধ সরকার কে হটিয়ে নির্বাচিত সরকার আনতে হবে,politics,positive
এরশাদ চাচার ভুত বদু চাচার কাঁধে ভর করেছে।,politics,negative
"মিথ্যা বাদি,সয়তান",other,negative
আ লীগের তপসিল! জনগন মানবে না।,politics,negative
কোরানে নামাজ দিনে কতবার বলা হয়েছে?,religion,neutral
"শেষ হাসিনার পতন চাই, গনতন্ত্রের মুক্তি চাই৷",politics,negative
"সবচে বেশি ক্ষতি হবে ভারতের,",politics,negative
"লাভ নাই বন্ধ করে, আল্লাহ্‌ র দিন আল্লাহ্‌ ই রক্ষা করবেন।",religion,negative
গন গ্রেপ্তার হবে,other,negative
পাবনা চলে যান,other,neutral
কাদের সাহেব যে বলল প্রধানমন্ত্রীর সাথে আলোচনা করতে?,politics,neutral
"আলহামদুলিল্লাহ, আল্লাহ্ আমাদের কবুল করে নিন।",religion,positive
"তাহলে গোল তিন চারটা খাবে, বায়ানের সাথে",sports,neutral
চুয়াডাঙ্গায় 'বন্দুকযুদ্ধে' সজিব হত্যা মামলার আসামি নিহত,other,negative
নিশ্চই ইমাম সাহেব ছহি মুমিন নন!!!,religion,negative
এরা ভোলা বিজেপি,politics,neutral
নেতারা গরম সহ্য করতে পারেন না,politics,negative
জাতিরপিতা শেখ মজিবরের দেশ গড়ার লক্ষে সর্ব দিক থেকেই মা শেখ হাসিনার অবদান অতুলনীয়।,politics,positive
মরার আগে দালাল উপাধি পেলি,other,negative
সেনাবাহিনী হত্যা কারি হাসিনার ফাঁসি চাই,politics,negative
শুক্রবার পর্যন্ত টেকনাফের শাহপরীর দ্বীপ ক্যাটল করিডোর দিয়ে মিয়ানমার থেকে এক হাজার ৭৭১টি পশু আমদানী হয়েছে,other,neutral
প্রয়োজনে নতুন আবেদন করতে পারেন: হাইকোর্ট,other,neutral
ওরা কচু করবে।,other,negative
আদরের শেষ নেই দেখছি।,other,negative
আবার শুরু হলো নাটক,other,negative
বাইন্চুদরা ১৪ ওয়াল্ডকাপের ট্রাজেডিটা না ঘটলে তরা আঙ্গুল মুখে দিয়া চুশতি।,sports,negative
জামালপুর জেলা বিএনপি মামুন ভাই,politics,neutral
নির্বাচনে না গেলে কেউ জোর করবে না,politics,negative
"মাথার উপর এই ছায়া যতদিন আছে,,,ততদিন ভয় নেই টাইগার দের",sports,positive
"হুম, বুজলাম ট্রাম্প হারাম জাদা।",politics,negative
"দেশের জন্য প্রান উজাড় করে খেলতে বলেছি,,,,,,,, মাশরাফি বস বলেন",sports,neutral
বাংলাদেশের মানুষ পরিবারকেন্দ্রিক রাজনীতি কেন পরিহার করতেছে না।,politics,negative
"খালেদাজিয়ার মুক্তি চাই, দিতে হবে।",politics,positive
সারাদেশে সকল জামাত শিবির নেতাকর্মীদের জেলে ঢোকানো হোক।,politics,negative
ক্ষমতার লোভ পেয়ে বসেছে।,politics,negative
এই খাবারের খবর টা যে সাংবাদিব লেখছে সে একটা আবাল,other,negative
ওই হই রই রই মাগি হাসিনা গেল কই,politics,negative
জাতীয় বিপ্লব ও সংহতি দিবস উপলক্ষে রাজধানীর ইঞ্জিনিয়ার্স ইনস্টিটিউটে বিএনপির একটি আলোচনাসভা বাতিল করা হয়েছে।,other,negative
ওরে তো জাতীয় চামচা হিসেবে মানুষ অনেক আগেই স্বীকৃতি দিছে,politics,negative
এটা করাও ইসলামের নিয়ামত।,religion,positive
মাসুদা ভাট্টি চরিত্রহীন,other,negative
খালেদা নাকি সবার মা,politics,neutral
গুজব সব গুজব,other,negative
পুলিশ কি অস্ত্র চোখে দেখে নি ?,other,negative
আল্লাহর কসম আমি বৃহস্পতিবার সারাদিন টিভি বন্ধ রাখমু,religion,negative
ধোঁয়াশা কেটে গেছে: হানিফ,other,positive
আ'লীগ ছেড়েছিলেন ড. কামাল,politics,negative
৭ দফা জারা মেনে নেবে না তারা ভোট চুরি করতে চায়,politics,negative
আটকে রেখে তরুণীকে দিয়ে দেহব্যবসা,other,negative
এই রাবিশ ভাদাম্মে মন্ত্রী,politics,negative
"নেইমার খেলোয়াড় হিসেবে অসাধারণ,আমি আপ্নার এই কথার সাথে একমত ভাই।",sports,positive
পুরুহিত দেখ তে এমন হয় না গলায় মালা থাকে কপালে তিলক!!,religion,negative
"তথ্য প্রযুক্তিবিদ সালাউদ্দিন সেলিম তার ফেসবুকে লিখেছেন, 'নিজের ঘরের ফোন রেকর্ড কীভাবে আইসিসির হাতে যায়",sports,neutral
হজের সময় কাবার সামনে নামাজ পড়া আর কাবার বাইরের চত্বরে নামাজ পড়ার মধ্যে ফজিলতের ফারাক আছে ?,religion,neutral
"যুগান্তরের অন্য কোন কাজ নেই, কেবল প্রিয়াংকা আর নিকের খবরটা প্রচার করাই তাদের কাজ।",other,negative
"অনেকেই বলছিলো পারবে না কিন্তু এটা যে মাশরাফি,  জয়কে ছিনিয়ে আনাই তার কাজ।",sports,positive
আসসালামু আলাইকুম স্যার,religion,positive
বরিশালের কুলাঙ্গার সন্তান রুহুল আমিন।,other,negative
"জুয়ারি কাকে প্রস্তাব করলো সেটা প্লেয়ারের অপরাধ না, প্লেয়ারের অপরাধ যদি সে জুয়াড়ির হয়ে জুয়া খেলে।",sports,negative
এসব কুলাঙ্গার দেশের জাতির ক্ষতি করবে এদের কোন প্রয়োজন নাই,politics,negative
অবশ্যই ইঞ্জিল ঈসা নবীর উপর অবর্তীন কিতাব,religion,neutral
পরের গাড়িতে অাসেন,other,neutral
"বাংলাদেশ, তোমার অভাব অতুলনীয়",sports,positive
নতুন চাচার আগমন,other,neutral
এলেমহীন জুব্বাওয়ালা,religion,negative
ইন শা আললা পাকিস্তান।,other,positive
খালেদা জিয়া অবশ্যই নির্বাচনে অংশ নিতে পারবেন,politics,neutral
আওয়ামিলীগের মন্ত্রী হলে কোন সমস্যা নাই,politics,neutral
"ভালবাসার আরেক নাম মাশরাফি বিন মর্তুজা,  বস আপনিই সেরা বস।",sports,positive
সাকিব আল হাসান থাকলে আরো অনেক ভালো কিছু হতো।,sports,positive
আস্তে আস্তে ডিম থেরাপী দেওয়া হোক।,other,negative
আললাহ ওনাকে ১০০বচর হায়াত দান করুন ওনি জেন দিনের দায়াত দিতে পারে,religion,positive
তোরা সত্য বলিস।,other,positive
বাঁশ ডলা দেন.,other,negative
যে রকম থাকুক না কেন কামালের কাছে ক্ষমতা যাবে না,other,negative
আপনি টিক বলছেন,other,positive
আল্লাহু আকবার জালিমদের কে ধবংস করুন,religion,positive
তামিম ইকবাল মানেই অন্য ব্যাপার।,sports,neutral
আল্লাহ তোমার পক্ষে আছেন,religion,positive
দলের মানসিকতা পরিবর্তনের জন্যে এক মাশরাফি যথেষ্ট।,sports,neutral
"হার্ড ওয়ার্ক ম্যান, ভালবাসি রোনালদোর খেলা",sports,positive
ইন্সপিরেশন অফ অল ক্রিকেটার এমনে এমনে বলি,sports,neutral
অনিচ্ছা স্বত্বে ও কেউ হিজাব পর না,religion,negative
বদু কাকা আর তার পোলা গেলো কই???????,politics,neutral
"আমরা আমরাই তো,ওরা আবারো বাশ খাওয়ার ইচ্ছা আছে",other,negative
"আপনারা তো অবৈধ, আপনারা কি সংবিদানিক,চোরের মার বড় গলা,শালা ভোট চোর,",politics,negative
আমরা আসলে কার কাছে কি শিখব।,other,neutral
মানুষ মনে রাখে কিন্তু মোল্লারা রাখেনা!।,religion,negative
সরকারের সমালোচনা করতে পারে,politics,negative
ভোট ডাকাতিতে বিজয়ী হলে অভিভুত তো হবেনই !!!,politics,negative
"৫"" জানুয়ারী মতনই একটা কপি রাইট হতে যাচ্ছে ২৩ ডিসেম্বর ২০১৮",other,neutral
আলহামদুলিল্লাহ শুকরিয়া সুন্দর আলোচনা,religion,positive
এক মেসি ছাড়া বার্সায় কেউ অাছে এখন?,sports,neutral
এরা কখনই মুসলিম নয়,religion,negative
খুনি হাসিনার বিদায় চাই।,politics,negative
হায় রে পুলাপাইন নিজের পায়ে নিজে কুড়াল মারতাছে।,other,negative
এত সুন্দর একটা উদারতায় ভরা ধর্মকে আমরা কত সংকীর্ণ মনা করে ফেলেছি একে অন্যের প্রতি কত হিন মান্যতা,religion,negative
আল্লাহ সব মুসলমানদের কোরআন পড়ার তৌফিক দান করুন!,religion,positive
"প্রতীক বরাদ্ধের কোন তারিখ নাই, হায়রে কমিশন",other,neutral
ঈদের পরে আন্দোলন,politics,negative
সুন্দর নির্বাচন চাই বাংলার মানুষ।।,politics,positive
লাইভ ইসলামী প্রশ্ন-উত্তর,religion,neutral
এই ছাগলগুলো মানসিক প্রতিবন্ধী,other,negative
সে আওয়ামীলীগ করে কেনই বা সহ্য করবে।,politics,neutral
আমার প্রশ্ন হচ্ছে কোরআন বা আরবী পড়তে না পারলে কবরের প্রশ্ন গুলোর উত্তর দেয়া যায় না,religion,negative
"পাপন কে নিষিদ্ধ করা এখন সময়ের ব্যাপার,,,, আমি বিশ্বাস করি বাংলার মানুষ জেগে উঠলে পাপন পালাতে বাদ্ধ হবে।",sports,negative
মাসাআল্লাহ... খু উত্তম কথা বলেছেন,religion,positive
সংলাপের সুফল পাওয়া শুরু হয়েছে,politics,positive
ছাত্রশিবিরের পাশাপাশি ছাত্রদল জন্য প্রস্থুত হন,politics,neutral
আল্লাহ তার বাবাকে জান্নাতুল ফেরদাউস দান করুন আমিন,religion,positive
জাকাত নিয়ে একটি প্রশ্ন ?,religion,neutral
দুয়া কবুলের মুহুর্ত গুলো নিয়ে হাদিসের আলোকে আলোচনা করলে উপকৃত থাকতাম,religion,positive
নিজেরাই নিজের অফিসে কক্টেল মারে,other,negative
আমরা সবাই উদ্বিগ্ন,other,negative
ইবরাহিম আঃ এর বাবার নাম কি আমাকে বলবেন,religion,neutral
বিশ্বকাপের পুর্বে ব্রাজিলের প্রস্তুতি ম্যাচ।,sports,neutral
যদি কথা না বলে তাহলে বুঝতে হবে সংলাপ ফল্প্রসু হয় নাই,politics,negative
অনেক শুভ কামনা।,sports,positive
সরকার মানুষকে কামড় দিতে অভ্যস্ত হয়েগেছে,politics,negative
"যে টিম আমাদের আছে ওইটাই ইনাফ,শুধু ভাল একটা কম্বিনেশন দরকার।ভরসা রাখুন টিমের প্রতি।",sports,positive
তাইলে টাকা খরচ করে ভোট করার দরকার কি?,politics,neutral
শুরু হলো দেখতে থাকুন,other,neutral
পাগলের কথা কথা কান দিয়েন না আর উনারা তো মিথ্যা বাদী,other,negative
দায়িত্ব পালনে পুলিশের চরম অবহেলা,other,negative
"ঠিক আছে আমরা একটু হেসে নিই, হা হা হা হা",other,positive
"মাশরাফি মানে লাল সবুজের বাংলাদেশ, মাশরাফি মানে শত মানুষের ভালবাসা!!!",sports,positive
বি চৌধূরীকে ও শেখহাসিনা এরশাদ কাকূর মত কিনে নিলো....,politics,negative
খানকির পোলা তুই,other,negative
যাক আমরা আরেকজন এরশাদ পেলাম,politics,neutral
নোয়াখালী শহর ইসলামী ছাত্রশিবিরের শহীদ ওমর ফারুক চৌধুরীর এলাকা কাদির হানিফ শাখার পক্ষ থেকে শুভেচ্ছা ও অভিনন্দন,politics,positive
তামিম ইকবাল যার অপর নাম বাংলাদেশ,sports,neutral
দেশে গনতন্ত্র ফিরে আসুক,politics,positive
বার্সা এই সিজন ট্রফিলেস থাকবে,sports,negative
সৃজনশীলতা শেখান বাচ্চাদের,other,positive
আজ প্রমাণ হলো বাংলাদেশে কোন সংবিধান নেই।,politics,negative
এই নির্বাচন দেশে বিদেশে প্রশ্নবিদ্ধ হবে।,politics,negative
"হাসিনা বুবু কে নিয়ে যাও,আমারা বাঙালিরা এক ধরনের ইঞ্চি ও দিবনা,",politics,negative
শুরু হতে যাচ্ছে পুলিশের সন্ত্রাসী কর্মকাণ্ড।,other,negative
"আপনার সঠিক দায়িত্বেই রঙ্গীন হয়ে উঠেছে, টিম বাংলাদেশ.....",sports,positive
"ভয় পাইছে, হি হি",other,negative
"অনেক করেছিস স্বৈরাচার, আর সইবো না অত্যাচার",politics,negative
ঈদ মুবারক শায়মা,religion,neutral
মহান আল্লাহপাক আমাদের কে হেফাজাত করুন,religion,positive
পাক-ভারত যুদ্ধ অনিবার্য,politics,negative
ফুটবলের প্রতি প্যাশন থাকা খুব ভাল।,sports,positive
তিব্র নিন্দা জানাই,other,negative
ফেরাউন দুনিয়াতে নাই কিনতু তার রক্তের ছিটা এখনো আছে,religion,negative
আল্লাহ এই মহান ব্যাক্তিটি কে হায়াতে ত্যায়েবা দান করুক .... আমিন,religion,positive
আলহামদুলিল্লাহ আমাদের দেশে কবে ফের চালু হবে পিস টিভি?,religion,positive
বিরুধী দল বলতে লজ্জা লাগেনা?,politics,negative
গাড়ীভাড়া করার টাকা নেই!,other,negative
টাকলার বাচ্চা আসলেই একটা বোকাচোদা,other,negative
মাশাআল্লাহ আল্লাহ হেপাজত করুন,religion,positive
আর কতো নাটক বাকী আছে?,other,negative
ভারত পাকিস্থান দুটু হারবে জিতবে বাংলাদেশ।,sports,neutral
বস মাশরাফি অনেক ভালোবাসা আপনার জন্য,sports,positive
হাহাহা কথা শুনে মনে হয় কঠোর আন্দোলনে যাচ্ছে । কিন্ত ফলাফল ঠিক একই রয়ে যায় ।,other,negative
আল্লাহ আপনাকে দীগায়ূ দান করুন,religion,positive
আপনি ছাগল সাংবাদিক,other,negative
তাদের আত্মাটা শান্তি পাবে?,religion,neutral
